Workload: s3tm-30gb (30.0 GiB)
Workers: 64, Concurrency: 256

Run:1 Secs:15.906173 Gb/s:16.201134
Run:2 Secs:4.229966 Gb/s:60.922019
Run:3 Secs:4.367538 Gb/s:59.003049
Run:4 Secs:4.836134 Gb/s:53.285959
Run:5 Secs:4.277652 Gb/s:60.242874
Run:6 Secs:4.209444 Gb/s:61.219021
Run:7 Secs:4.229323 Gb/s:60.931281
Run:8 Secs:4.604117 Gb/s:55.971215
Run:9 Secs:4.041733 Gb/s:63.759291
Run:10 Secs:4.863319 Gb/s:52.988106
