Workload: s3tm-50gb (50.0 GiB)
Workers: 64, Concurrency: 256

Run:1 Secs:43.411944 Gb/s:9.893515
Run:2 Secs:41.890505 Gb/s:10.252842
Run:3 Secs:41.809866 Gb/s:10.272617
Run:4 Secs:42.013538 Gb/s:10.222817
Run:5 Secs:42.467475 Gb/s:10.113545
Run:6 Secs:42.345088 Gb/s:10.142776
Run:7 Secs:47.495827 Gb/s:9.042831
Run:8 Secs:46.878972 Gb/s:9.161821
Run:9 Secs:42.388678 Gb/s:10.132345
Run:10 Secs:46.805157 Gb/s:9.176269
