Workload: s3tm-50gb-alt (50.0 GiB)
Workers: 64, Concurrency: 4 per worker (256 total), PartSize: 64 MiB

Run:1 Secs:22.451168 Gb/s:19.130262
Run:2 Secs:10.872917 Gb/s:39.501517
Run:3 Secs:11.065969 Gb/s:38.812393
Run:4 Secs:8.718907 Gb/s:49.260388
Run:5 Secs:10.800477 Gb/s:39.766460
Run:6 Secs:10.685037 Gb/s:40.196092
Run:7 Secs:10.853899 Gb/s:39.570731
Run:8 Secs:10.748436 Gb/s:39.958996
Run:9 Secs:10.871421 Gb/s:39.506954
Run:10 Secs:11.952838 Gb/s:35.932616
