Workload: s3tm-5gb-alt (5.0 GiB)
Workers: 64, Concurrency: 4 per worker (256 total), PartSize: 64 MiB

Run:1 Secs:2.086437 Gb/s:20.585176
Run:2 Secs:2.209152 Gb/s:19.441699
Run:3 Secs:2.061141 Gb/s:20.837811
Run:4 Secs:2.138315 Gb/s:20.085758
Run:5 Secs:2.124997 Gb/s:20.211636
Run:6 Secs:2.223403 Gb/s:19.317086
Run:7 Secs:2.082141 Gb/s:20.627652
Run:8 Secs:2.108738 Gb/s:20.367473
Run:9 Secs:2.137549 Gb/s:20.092952
Run:10 Secs:2.190457 Gb/s:19.607634
